         1187194 function calls (1168088 primitive calls) in 7.779 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 Tkinter.py:285(DoubleVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:304(BooleanVar)
        1    0.002    0.002    0.012    0.012 Tkinter.py:31(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3129(_setit)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3140(OptionMenu)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3177(Image)
        9    0.000    0.000    0.011    0.001 Tkinter.py:3180(__init__)
      113    0.000    0.000    0.000    0.000 Tkinter.py:3202(__str__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3203(__del__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3237(PhotoImage)
        9    0.000    0.000    0.011    0.001 Tkinter.py:3239(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3297(BitmapImage)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3309(Spinbox)
        1    0.000    0.000    0.000    0.000 Tkinter.py:336(Misc)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3467(LabelFrame)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3489(PanedWindow)
        1    0.000    0.000    0.000    0.000 Tkinter.py:353(deletecommand)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3686(Studbutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3694(Tributton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:424(focus_set)
        1    0.000    0.000    0.000    0.000 Tkinter.py:482(after)
        1    0.000    0.000    0.046    0.046 Tkinter.py:493(callit)
        1    0.000    0.000    0.000    0.000 Tkinter.py:503(after_idle)
       32    0.000    0.000    0.000    0.000 Tkinter.py:74(_cnfmerge)
        1    0.000    0.000    0.000    0.000 Tkinter.py:839(winfo_toplevel)
        1    0.000    0.000    0.053    0.053 Tkinter.py:909(update)
  102/101    0.001    0.000    0.271    0.003 Tkinter.py:912(update_idletasks)
       15    0.000    0.000    0.000    0.000 Tkinter.py:929(_bind)
        1    0.000    0.000    0.000    0.000 Tkinter.py:94(Event)
       15    0.000    0.000    0.000    0.000 Tkinter.py:946(bind)
     2765    0.002    0.000    0.003    0.000 UserDict.py:17(__len__)
        2    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        3    0.007    0.002    0.079    0.026 __init__.py:1(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:10(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
        1    0.008    0.008    0.164    0.164 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:12(register)
        1    0.000    0.000    0.022    0.022 __init__.py:14(pylab_setup)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.005    0.005    0.042    0.042 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:159(py_object)
        3    0.000    0.000    0.002    0.001 __init__.py:166(_is_writable_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
        1    0.003    0.003    0.003    0.003 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:176(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:180(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:196(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        3    0.014    0.005    0.050    0.017 __init__.py:2(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:20(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:20(get_projection_class)
        2    0.000    0.000    0.000    0.000 __init__.py:200(set_level)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:209(set_fileo)
        1    0.000    0.000    0.000    0.000 __init__.py:215(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:219(c_ulonglong)
     8034    0.007    0.000    0.013    0.000 __init__.py:224(report)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
